team,type,subtype,from,to,game_id,eventType,outcome,event_id,PassExclude,PassIntent
Away,BALL OUT,CLEARANCE,B16,,1,PASS,False,77,1.0,
Home,BALL OUT,CLEARANCE,A02,,1,PASS,False,187,1.0,
Away,BALL OUT,CLEARANCE,B16,,1,PASS,False,272,1.0,
Away,BALL LOST,CLEARANCE,B22,,1,PASS,False,401,1.0,
Away,BALL LOST,CLEARANCE,B19,,1,PASS,False,417,,B24
Away,BALL OUT,CLEARANCE,B15,,1,PASS,False,524,1.0,
Away,BALL LOST,CLEARANCE,B17,,1,PASS,False,641,,B18
Home,BALL LOST,CLEARANCE,A02,,1,PASS,False,709,,A08
Home,BALL LOST,CLEARANCE,A03,,1,PASS,False,713,1.0,
Home,BALL LOST,CLEARANCE,A02,,1,PASS,False,937,,A09
Away,BALL LOST,CLEARANCE,B23,,2,PASS,False,1298,1.0,
Home,BALL OUT,CLEARANCE,A04,,2,PASS,False,1424,1.0,
Home,BALL OUT,CLEARANCE,A05,,2,PASS,False,1754,1.0,
Home,BALL OUT,CLEARANCE,A06,,2,PASS,False,1950,1.0,
Home,BALL OUT,CLEARANCE,A01,,2,PASS,False,2023,1.0,
Home,BALL LOST,CLEARANCE,A13,,2,PASS,False,2042,1.0,
Home,BALL OUT,CLEARANCE,A12,,2,PASS,False,2070,1.0,
Home,BALL LOST,CLEARANCE,B18,,3,PASS,False,2159,1.0,
Away,BALL LOST,CLEARANCE,A03,,3,PASS,False,2168,1.0,
Home,BALL LOST,CLEARANCE,B22,,3,PASS,False,2182,1.0,
Home,BALL OUT,CLEARANCE,B18,,3,PASS,False,2320,1.0,
Home,BALL OUT,CLEARANCE,B28,,3,PASS,False,2682,1.0,
Away,BALL LOST,CLEARANCE,A05,,3,PASS,False,2708,1.0,
Home,BALL OUT,CLEARANCE,B18,,3,PASS,False,2821,1.0,
Home,BALL LOST,CLEARANCE,B23,,3,PASS,False,3012,1.0,
Home,BALL OUT,CLEARANCE,B23,,3,PASS,False,3080,1.0,
Home,BALL OUT,CLEARANCE,B33,,3,PASS,False,3092,1.0,
Home,BALL OUT,CLEARANCE,B34,,3,PASS,False,3149,1.0,
Home,BALL LOST,CLEARANCE,B33,,3,PASS,False,3192,1.0,
Home,BALL OUT,CLEARANCE,B33,,3,PASS,False,3206,,B35
Home,BALL LOST,CLEARANCE,B30,,3,PASS,False,3212,1.0,
Home,BALL OUT,CLEARANCE,B18,,3,PASS,False,3247,1.0,
Away,BALL OUT,CLEARANCE,A01,,3,PASS,False,3338,1.0,
Away,BALL LOST,CLEARANCE,A11,,3,PASS,False,3339,1.0,
Home,BALL LOST,CLEARANCE-INTERCEPTION,A03,,2,PASS,False,2049,,A06
Home,BALL OUT,CROSS,A08,,1,CROSS,False,975,,A10
Away,BALL OUT,CROSS,B18,,1,CROSS,False,977,,B24
Away,BALL OUT,CROSS,B24,,2,CROSS,False,2108,,B23
Home,BALL LOST,CROSS,B21,,3,CROSS,False,4771,,B27
Home,BALL OUT,CROSS,B26,,3,CROSS,False,4772,,B27
Home,BALL LOST,CROSS,B25,,3,CROSS,False,4773,,B27
Away,BALL LOST,CROSS,A01,,3,CROSS,False,4774,,A13
Away,BALL LOST,CROSS,A01,,3,CROSS,False,4775,,A13
Away,BALL LOST,CROSS,A13,,3,CROSS,False,4776,,A14
